year,fips,GIS Join Match Code,NHGIS Integrated State Name,NHGIS Integrated State Code,Year-Specific Area Name,Persons: Total,Persons: Urban,Persons: Urban--Inside urbanized areas,Persons: Urban--Outside urbanized areas (in urban clusters),Persons: Rural,Persons: Male,Persons: Female,Persons: Under 5 years,Persons: 5 to 9 years,Persons: 10 to 14 years,Persons: 15 to 17 years,Persons: 18 and 19 years,Persons: 20 years,Persons: 21 years,Persons: 22 to 24 years,Persons: 25 to 29 years,Persons: 30 to 34 years,Persons: 35 to 44 years,Persons: 45 to 54 years,Persons: 55 to 59 years,Persons: 60 and 61 years,Persons: 62 to 64 years,Persons: 65 to 74 years,Persons: 75 to 84 years,Persons: 85 years and over,Persons: 18-24,Persons: 25-34,Persons: 35-44,Persons: 45-54,Persons: 55-64,Persons: 65+,Persons: White (single race),Persons: Black or African American (single race),Persons: American Indian and Alaska Native (single race),Persons: Asian and Pacific Islander and Other Race (single race),Persons: Two or More Races,Persons: Asian and Pacific Islander and Other and Two or More Races,Total Race,Persons: 25 years and over ~ Less than 9th grade,Persons: 25 years and over ~ 9th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),Persons: 25 years and over ~ 4 or more years of college (until 1980) or bachelor's degree or higher (since 1990),"Families: Income less than $10,000","Families: Income $10,000 to $14,999","Families: Income $15,000 to $24,999","Families: Income $25,000 to $49,999","Families: Income $50,000 or more",approx avg income,estimated sd,dem_vote,gop_vote,lean_prev,lean_prev2,dem_vote_lean_prev2,gop_vote_lean_prev2,hlean_prev2,hlean_prev,us_state,dem_pct_two_party,lean,total_votes_two_party,total_votes,dem_poll,gop_poll,dem_lean2_plus_poll,gop_lean2_plus_poll
1948,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.551660713,0.448339287,-0.00939,-0.04401,0.54401,0.45599,-0.085472667,-0.066488537,MT,0.5516607132101871,-0.0283742567914227,215841.0,224272.0,0.474,0.526,0.51801,0.48199000000000003
1948,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.458472325,0.541527675,0.12354,0.12187,0.37812999999999997,0.62187,0.188287562,0.117376629,NE,0.4584723247685294,0.064814131650235,488939.0,488939.0,0.474,0.526,0.35212999999999994,0.6478700000000001
1948,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.515944466,0.484055534,-0.00847,-0.05076,0.55076,0.44924,-0.112531915,0.029070959,NV,0.515936484904447,0.0073499715143173,60647.0,62116.0,0.474,0.526,0.52476,0.47524
1948,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47098921,0.52901079,0.01651,0.01779,0.48221,0.51779,0.043933155,0.060473661,NH,0.4709892103587533,0.052297246060011,229294.0,231440.0,0.474,0.526,0.45621,0.54379
1948,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.477174156,0.522825844,0.03093,0.03176,0.46824,0.53176,0.052783827,0.03598435,NJ,0.4771741557376481,0.0461123006811162,1876579.0,1949555.0,0.474,0.526,0.44223999999999997,0.55776
1948,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.567721931,0.432278069,0.00256,-0.01662,0.51662,0.48338,-0.036808497,-0.083831436,NM,0.5639767785608705,-0.0406903221421061,186724.0,186724.0,0.474,0.526,0.49062,0.50938
1948,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49457792,0.50542208,0.01258,0.03213,0.46787,0.53213,0.05001224,0.046821333,NY,0.4737422448115833,0.0495442116071811,5398805.0,6177209.0,0.474,0.526,0.44187,0.55813
1948,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.639692214,0.360307786,-0.12939,-0.19031,0.69031,0.30969,-0.177267555,-0.17254975,NC,0.6396922142238051,-0.1164057578050407,717642.0,791209.0,0.474,0.526,0.66431,0.33569000000000004
1948,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.454190784,0.545809216,0.07979,0.10483,0.39517,0.60483,0.246882076,0.183506121,ND,0.4541907836416987,0.0690956727770656,210951.0,220716.0,0.474,0.526,0.36917,0.63083
1948,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50122599,0.49877401,0.03957,0.02796,0.47204,0.52796,0.049316563,0.035785581,OH,0.5012254732838543,0.02206098313491,2898472.0,2935959.0,0.474,0.526,0.44604,0.55396
