year,state,year,state,lean_current,dem_share,lean_prev,total_votes_two_party,total_votes,rdi_yr_to_election,rdi_election_year_change,inc_midterm_change,inc_has_house,inc_tenure,gdp_yoy,inflation_yoy,unemployment,inc_pres,state_pop,state_evs,inc_party_cand_approval,inc_pres_approval,hlean_prev,hlean_prev2,hlean_prev3,hlean_prev4,dem_hshare_prev,dem_hshare_prev2,dem_hshare_prev3,dem_hshare_prev4,lean_prev2,lean_prev3,lean_prev4,lean_trend,inc_party,inc_candidate,noninc_candidate,rosenstone_dem_new_deal,rosenstone_dem_race,spliced_BPHI_dem,dem_nom_dim1,dem_nom_dim2,dem_lean_current,rosenstone_gop_new_deal,rosenstone_gop_race,spliced_BPHI_gop,gop_nom_dim1,gop_nom_dim2,gop_share,gop_lean_current,dem_evs,spliced_diff_natl_dem_minus_gop,inc_home_state,noninc_home_state,inc_vp_home_state,noninc_vp_home_state,inc_south_bonus,noninc_south_bonus,state_liberalism,rstone_state_ndsw,rstone_state_race,state_nom_dim1,state_nom_dim2,state_citizen_nom,berry_citizen,berry_gov,dem_cfscore,gop_cfscore,mean_cfscore_adj,mean_cfscore_unweighted,mean_cfscore_adj_smooth,mean_cfscore_smooth,mean_cfscore
1948,MD,1948,MD,0.03083,0.49286728,0.01922,826829,848149,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,2271,8,69,69,-0.081801254,-0.045719157,-0.086944601,-0.077911598,0.522393642,0.522393642,0.522393642,0.522393642,-0.03792,-0.00279,-0.03903,0.02201,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,-0.03083,0.605250911,0.108064006,0.57784493,,,0.50713272,0.03083,0,0.47993717,0,0,0,0,0,0,-0.169363413,6.1,6.4,,,,,,,,,,,,
1948,MA,1948,MA,-0.03511,0.558806263,0.00862,2061158,2107147,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,4674,16,69,69,-0.022623761,0.048493375,0.014105869,0.057023861,0.463216149,0.463216149,0.463216149,0.463216149,0.01607,0.07369,0.07094,-0.06507,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,0.03511,0.605250911,0.108064006,0.57784493,,,0.441193737,-0.03511,16,0.47993717,0,0,0,0,0,0,1.26241393,9.9,8.5,,,,,,,,,,,,
1948,MI,1948,MI,0.03231,0.491394158,0.03261,2042043,2109609,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,6213,19,69,69,0.052222959,0.04123156,0.01663459,0.042752972,0.388369429,0.388369429,0.388369429,0.388369429,0.05167,0.0322,0.0506,0.00041,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,-0.03231,0.605250911,0.108064006,0.57784493,,,0.508605842,0.03231,0,0.47993717,0,0,0,0,0,0,0.615788721,6.7,8.5,,,,,,,,,,,,
1948,MN,1948,MN,-0.06526,0.588964824,0.00979,1176583,1212226,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,2868,11,69,69,0.440592388,0.108717659,0.218708202,0.240428893,0,0,0,0,0.03068,-0.04144,-0.03126,0.05123,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,0.06526,0.605250911,0.108064006,0.57784493,,,0.411035176,-0.06526,11,0.47993717,0,0,0,0,0,0,0.338518001,6.5,9.2,,,,,,,,,,,,
1948,MS,1948,MS,-0.26985,0.793548123,-0.39784,24427,192190,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,2076,9,69,69,-0.559407612,-0.448061662,-0.524273108,-0.468478917,1,1,1,1,-0.40807,-0.34797,-0.37287,-0.04987,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,0.26985,0.605250911,0.108064006,0.57784493,,,0.206451877,-0.26985,9,0.47993717,0,0,0,0,0,0,-1.360915275,2.3,0,,,,,,,,,,,,
1948,MO,1948,MO,-0.0597,0.583402338,0.02299,1572354,1709743,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,3844,15,69,69,-0.037261435,-0.00636363,-0.008636506,0.007669984,0.477853822,0.477853822,0.477853822,0.477853822,0.0261,0.01036,-0.05337,0.01263,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,0.0597,0.605250911,0.108064006,0.57784493,,,0.416597662,-0.0597,15,0.47993717,1,0,0,0,0,0,-0.685248602,4.3,,,,,,,,,,,,,
1948,MT,1948,MT,-0.02796,0.551660713,-0.00939,215841,224272,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,542,4,69,69,-0.066488537,-0.085472667,-0.082999463,-0.019449268,0.507080925,0.507080925,0.507080925,0.507080925,-0.04401,-0.09062,-0.02832,0.08123,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,0.02796,0.605250911,0.108064006,0.57784493,,,0.448339287,-0.02796,4,0.47993717,0,0,0,0,0,0,-0.027823182,9.5,5.5,,,,,,,,,,,,
1948,NE,1948,NE,0.06523,0.458472325,0.12354,488939,488939,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,1265,6,69,69,0.117376629,0.188287562,0.126633255,0.111525054,0.323215759,0.323215759,0.323215759,0.323215759,0.12187,0.04079,-0.04943,0.08275,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,-0.06523,0.605250911,0.108064006,0.57784493,,,0.541527675,0.06523,0,0.47993717,0,0,0,0,0,0,-0.330648924,3.7,10.6,,,,,,,,,,,,
1948,NV,1948,NV,0.00776,0.515944466,-0.00847,60647,62116,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,156,3,69,69,0.029070959,-0.112531915,-0.0599911,-0.113173199,0.411521429,0.411521429,0.411521429,0.411521429,-0.05076,-0.10352,-0.1026,0.09505,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,-0.00776,0.605250911,0.108064006,0.57784493,,,0.484055534,0.00776,3,0.47993717,0,0,0,0,0,0,-0.486231396,4.3,8.3,,,,,,,,,,,,
1948,NH,1948,NH,0.05271,0.47098921,0.01651,229294,231440,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,520,4,69,69,0.060473661,0.043933155,0.026259081,0.051552663,0.380118727,0.380118727,0.380118727,0.380118727,0.01779,0.1156,0.09871,-0.09909,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,-0.05271,0.605250911,0.108064006,0.57784493,,,0.52901079,0.05271,0,0.47993717,0,0,0,0,0,0,0.183566249,9.2,8.5,,,,,,,,,,,,
1948,NJ,1948,NJ,0.04653,0.477174156,0.03093,1876579,1949555,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,4774,16,69,69,0.03598435,0.052783827,0.018615828,0.061016843,0.404608038,0.404608038,0.404608038,0.404608038,0.03176,0.02381,0.08169,0.00712,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,-0.04653,0.605250911,0.108064006,0.57784493,,,0.522825844,0.04653,0,0.47993717,0,0,0,0,0,0,1.000386938,6.5,8.3,,,,,,,,,,,,
1948,NM,1948,NM,-0.04402,0.567721931,0.00256,186724,186724,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,604,4,69,69,-0.083831436,-0.036808497,-0.104515542,-0.05596659,0.524423824,0.524423824,0.524423824,0.524423824,-0.01662,-0.0075,-0.04538,0.01006,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,0.04402,0.605250911,0.108064006,0.57784493,,,0.432278069,-0.04402,4,0.47993717,0,0,0,0,0,0,-0.206877806,7.7,3,,,,,,,,,,,,
1948,NY,1948,NY,0.02912,0.49457792,0.01258,5398805,6177209,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,14497,47,69,69,0.046821333,0.05001224,0.023687498,0.026465793,0.393771054,0.393771054,0.393771054,0.393771054,0.03213,0.02294,0.02476,-0.01036,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,-0.02912,0.605250911,0.108064006,0.57784493,,,0.50542208,0.02912,0,0.47993717,0,1,0,0,0,0,1.459405041,8.9,8.3,,,,,,,,,,,,
1948,NC,1948,NC,-0.11599,0.639692214,-0.12939,717642,791209,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,3837,14,69,69,-0.17254975,-0.177267555,-0.25152998,-0.223186639,0.613142138,0.613142138,0.613142138,0.613142138,-0.19031,-0.10944,-0.11337,-0.01995,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,0.11599,0.605250911,0.108064006,0.57784493,,,0.360307786,-0.11599,14,0.47993717,0,0,0,0,0,0,-0.879698927,0.3,2.2,,,,,,,,,,,,
1948,ND,1948,ND,0.06951,0.454190784,0.07979,210951,220716,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,580,4,69,69,0.183506121,0.246882076,0.233524171,0.203365399,0.257086267,0.257086267,0.257086267,0.257086267,0.10483,-0.06704,-0.12156,0.14683,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,-0.06951,0.605250911,0.108064006,0.57784493,,,0.545809216,0.06951,0,0.47993717,0,0,0,0,0,0,-0.181406654,7.9,5.5,,,,,,,,,,,,
1948,OH,1948,OH,0.02247,0.50122599,0.03957,2898472,2935959,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,7876,25,69,69,0.035785581,0.049316563,0.044313724,0.024355641,0.404806806,0.404806806,0.404806806,0.404806806,0.02796,0.01686,0.07679,0.02271,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,-0.02247,0.605250911,0.108064006,0.57784493,,,0.49877401,0.02247,25,0.47993717,0,0,0,0,0,0,0.541700498,4.4,8.8,,,,,,,,,,,,
1948,OK,1948,OK,-0.10377,0.627470382,-0.01921,721599,721599,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,2089,10,69,69,-0.14454313,-0.068573328,-0.10213672,-0.129919516,0.585135518,0.585135518,0.585135518,0.585135518,-0.02619,-0.04694,-0.14147,0.02773,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,0.10377,0.605250911,0.108064006,0.57784493,,,0.372529618,-0.10377,10,0.47993717,0,0,0,0,0,0,-0.467051834,4.8,4.1,,,,,,,,,,,,
1948,OR,1948,OR,0.04131,0.482385711,0.01319,504051,524080,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,1405,6,69,69,0.088986845,0.133403603,0.057708405,0.11292546,0.351605543,0.351605543,0.351605543,0.351605543,0.00935,-0.06036,-0.01976,0.07355,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,-0.04131,0.605250911,0.108064006,0.57784493,,,0.517614289,0.04131,0,0.47993717,0,0,0,0,0,0,0.311201385,9.2,9.8,,,,,,,,,,,,
1948,PA,1948,PA,0.04419,0.479509378,0.02378,3654623,3735348,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,10287,35,69,69,0.019390492,0.01122136,0.027491365,0.010485187,0.421201896,0.421201896,0.421201896,0.421201896,0.01538,0.04249,0.12015,-0.01871,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,-0.04419,0.605250911,0.108064006,0.57784493,,,0.520490622,0.04419,0,0.47993717,0,0,0,0,0,0,0.80738133,4.3,8.9,,,,,,,,,,,,
1948,RI,1948,RI,-0.05788,0.581579734,-0.04904,324523,327702,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,787,4,69,69,-0.10677825,-0.079235237,-0.106428879,-0.024851575,0.547370638,0.547370638,0.547370638,0.547370638,-0.01784,0.0553,0.03165,-0.10434,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,0.05788,0.605250911,0.108064006,0.57784493,,,0.418420266,-0.05788,4,0.47993717,0,0,0,0,0,0,0.868439166,8.2,7.1,,,,,,,,,,,,
1948,SC,1948,SC,-0.341,0.864703961,-0.41384,39809,142571,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,1996,8,69,69,-0.550194329,-0.481057633,-0.524273108,-0.452745077,0.990786717,0.990786717,0.990786717,0.990786717,-0.40633,-0.36118,-0.38955,-0.05266,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,0.341,0.605250911,0.108064006,0.57784493,,,0.135296039,-0.341,8,0.47993717,0,0,0,0,0,0,-0.924932461,2.6,0.3,,,,,,,,,,,,
1948,SD,1948,SD,0.04796,0.475742406,0.12102,247304,250105,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,612,4,69,69,0.083944695,0.169140302,0.10323992,0.142525577,0.356647693,0.356647693,0.356647693,0.356647693,0.12409,0.06486,-0.0576,0.05616,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,-0.04796,0.605250911,0.108064006,0.57784493,,,0.524257594,0.04796,0,0.47993717,0,0,0,0,0,0,-0.620622097,5.5,4.3,,,,,,,,,,,,
1948,TN,1948,TN,-0.04759,0.571292752,-0.06874,473316,550283,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,3216,12,69,69,-0.24254495,-0.145986529,-0.18524943,-0.197039059,0.683137338,0.683137338,0.683137338,0.683137338,-0.12518,-0.06672,-0.08033,-0.00202,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,0.04759,0.605250911,0.108064006,0.57784493,,,0.428707248,-0.04759,12,0.47993717,0,0,0,0,0,0,-1.038012051,3,5,,,,,,,,,,,,
1948,TX,1948,TX,-0.2072,0.730897879,-0.2733,1127702,1249577,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,7626,23,69,69,-0.510558978,-0.422686796,-0.524273108,-0.444391106,0.951151366,0.951151366,0.951151366,0.951151366,-0.26055,-0.25154,-0.29438,-0.02176,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,0.2072,0.605250911,0.108064006,0.57784493,,,0.269102121,-0.2072,23,0.47993717,0,0,0,0,0,0,-0.684333811,2.2,4.3,,,,,,,,,,,,
