year,state,year,state,lean_current,dem_share,lean_prev,rdi_yr_to_election,rdi_election_year_change,inc_midterm_change,inc_has_house,inc_tenure,gdp_yoy,inflation_yoy,unemployment,inc_pres,state_pop,state_evs,inc_party_cand_approval,inc_pres_approval,inc_party,inc_candidate,noninc_candidate,rosenstone_inc_new_deal,rosenstone_inc_race,rosenstone_noninc_new_deal,rosenstone_noninc_race,spliced_BPHI_inc,spliced_BPHI_noninc,inc_nom_dim1,inc_nom_dim2,noninc_nom_dim1,noninc_nom_dim2,inc_share,inc_lean_current,inc_hlean_prev,inc_hlean_prev2,inc_hlean_prev3,inc_hlean_prev4,inc_hshare_prev,inc_hshare_prev2,inc_hshare_prev3,inc_hshare_prev4,inc_lean_prev,inc_lean_prev2,inc_lean_prev3,inc_lean_prev4,inc_lean_trend,inc_evs,spliced_diff_natl,inc_home_state,noninc_home_state,inc_vp_home_state,noninc_vp_home_state,inc_south_bonus,noninc_south_bonus,state_liberalism,rstone_state_ndsw,rstone_state_race,state_nom_dim1,state_nom_dim2,state_citizen_nom,berry_citizen,berry_gov,inc_cfscore,noninc_cfscore,mean_cfscore_adj,mean_cfscore_unweighted,mean_cfscore_adj_smooth,mean_cfscore_smooth,mean_cfscore,nom_dim1_inc_minus_noninc,nom_dim2_inc_minus_noninc,nom_norm_inc_minus_noninc,inc_minus_noninc_rstone_ndsw,inc_minus_noninc_rstone_race,berry_inc_minus_noninc_citizen,berry_inc_minus_noninc_nom,rstone_race_continuous,splice_inc_minus_noninc,inc_minus_noninc_dime
1948,MD,1948,MD,0.03083,0.49286728,0.01922,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,2271,8,69,69,0,Truman_1948,Dewey_1948,-0.826145404,-1.056370971,0.605250911,0.111196944,64.63472976,41.40316198,-0.374,0.014,,,0.49286728,-0.03083,0.081801254,0.045719157,0.086944601,0.077911598,0.522393642,0.522393642,0.522393642,0.522393642,-0.01922,0.03792,0.00279,0.03903,-0.02201,0,0.47993717,0,0,0,0,0,0,45.70778992,-0.00354121,0.242874221,,,,,,,,,,,,,,,,,,0,0,1.167567916,,
1948,MA,1948,MA,-0.03511,0.558806263,0.00862,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,4674,16,69,69,0,Truman_1948,Dewey_1948,-0.826145404,-1.056370971,0.605250911,0.111196944,64.63472976,41.40316198,-0.374,0.014,,,0.558806263,0.03511,0.022623761,-0.048493375,-0.014105869,-0.057023861,0.463216149,0.463216149,0.463216149,0.463216149,-0.00862,-0.01607,-0.07369,-0.07094,0.06507,16,0.47993717,0,0,0,0,0,0,70.44491175,-1.438911864,-0.486635384,,,,,,,,,,,,,,,,,,0,0,-0.028096741,,
1948,MI,1948,MI,0.03231,0.491394158,0.03261,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,6213,19,69,69,0,Truman_1948,Dewey_1948,-0.826145404,-1.056370971,0.605250911,0.111196944,64.63472976,41.40316198,-0.374,0.014,,,0.491394158,-0.03231,-0.052222959,-0.04123156,-0.01663459,-0.042752972,0.388369429,0.388369429,0.388369429,0.388369429,-0.03261,-0.05167,-0.0322,-0.0506,-0.00041,0,0.47993717,0,0,0,0,0,0,59.27303041,-0.230178682,-0.486635384,,,,,,,,,,,,,,,,,,0,0,-0.028096741,,
1948,MN,1948,MN,-0.06526,0.588964824,0.00979,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,2868,11,69,69,0,Truman_1948,Dewey_1948,-0.826145404,-1.056370971,0.605250911,0.111196944,64.63472976,41.40316198,-0.374,0.014,,,0.588964824,0.06526,-0.440592388,-0.108717659,-0.218708202,-0.240428893,0,0,0,0,-0.00979,-0.03068,0.04144,0.03126,-0.05123,11,0.47993717,0,0,0,0,0,0,54.48256518,-0.154632858,-0.729805252,,,,,,,,,,,,,,,,,,0,0,-0.514436478,,
1948,MS,1948,MS,-0.26985,0.793548123,-0.39784,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,2076,9,69,69,0,Truman_1948,Dewey_1948,-0.826145404,-1.056370971,0.605250911,0.111196944,64.63472976,41.40316198,-0.374,0.014,,,0.793548123,0.26985,0.559407612,0.448061662,0.524273108,0.468478917,1,1,1,1,0.39784,0.40807,0.34797,0.37287,0.04987,9,0.47993717,0,0,0,0,0,0,25.12109482,1.431829443,2.466141589,,,,,,,,,,,,,,,,,,0,0,1.167567916,,
1948,MO,1948,MO,-0.0597,0.583402338,0.02299,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,3844,15,69,69,0,Truman_1948,Dewey_1948,-0.826145404,-1.056370971,0.605250911,0.111196944,64.63472976,41.40316198,-0.374,0.014,,,0.583402338,0.0597,0.037261435,0.00636363,0.008636506,-0.007669984,0.477853822,0.477853822,0.477853822,0.477853822,-0.02299,-0.0261,-0.01036,0.05337,-0.01263,15,0.47993717,1,0,0,0,0,0,36.79473171,0.676371205,,,,,,,,,,,,,,,,,,,0,0,,,
1948,MT,1948,MT,-0.02796,0.551660713,-0.00939,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,542,4,69,69,0,Truman_1948,Dewey_1948,-0.826145404,-1.056370971,0.605250911,0.111196944,64.63472976,41.40316198,-0.374,0.014,,,0.551660713,0.02796,0.066488537,0.085472667,0.082999463,0.019449268,0.507080925,0.507080925,0.507080925,0.507080925,0.00939,0.04401,0.09062,0.02832,-0.08123,4,0.47993717,0,0,0,0,0,0,48.15321059,-1.287820217,0.555521195,,,,,,,,,,,,,,,,,,0,0,1.167567916,,
1948,NE,1948,NE,0.06523,0.458472325,0.12354,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,1265,6,69,69,0,Truman_1948,Dewey_1948,-0.826145404,-1.056370971,0.605250911,0.111196944,64.63472976,41.40316198,-0.374,0.014,,,0.458472325,-0.06523,-0.117376629,-0.188287562,-0.126633255,-0.111525054,0.323215759,0.323215759,0.323215759,0.323215759,-0.12354,-0.12187,-0.04079,0.04943,-0.08275,0,0.47993717,0,0,0,0,0,0,42.92122581,0.903008676,-1.216144989,,,,,,,,,,,,,,,,,,0,0,-1.167567916,,
1948,NV,1948,NV,0.00776,0.515944466,-0.00847,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,156,3,69,69,0,Truman_1948,Dewey_1948,-0.826145404,-1.056370971,0.605250911,0.111196944,64.63472976,41.40316198,-0.374,0.014,,,0.515944466,-0.00776,-0.029070959,0.112531915,0.0599911,0.113173199,0.411521429,0.411521429,0.411521429,0.411521429,0.00847,0.05076,0.10352,0.1026,-0.09505,3,0.47993717,0,0,0,0,0,0,40.23319434,0.676371205,-0.417158279,,,,,,,,,,,,,,,,,,0,0,0.11085747,,
1948,NH,1948,NH,0.05271,0.47098921,0.01651,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,520,4,69,69,0,Truman_1948,Dewey_1948,-0.826145404,-1.056370971,0.605250911,0.111196944,64.63472976,41.40316198,-0.374,0.014,,,0.47098921,-0.05271,-0.060473661,-0.043933155,-0.026259081,-0.051552663,0.380118727,0.380118727,0.380118727,0.380118727,-0.01651,-0.01779,-0.1156,-0.09871,0.09909,0,0.47993717,0,0,0,0,0,0,51.80543078,-1.174501481,-0.486635384,,,,,,,,,,,,,,,,,,0,0,-0.028096741,,
