,statename,year,mood,democrat,republican,liberal,conservative,mood_d2
1635,New Hampshire,1996.0,35.032,25.62256684630112,24.34515484329186,14.204121567439168,28.676953021693492,40.68
1636,New Hampshire,1997.0,35.325,26.070852702913754,23.67934583245688,14.490194358699354,30.66927257647106,42.611
1637,New Hampshire,1998.0,33.525,21.997390167185504,25.626087452524192,14.356120066121056,27.74609985219284,40.482
1638,New Hampshire,1999.0,33.491,19.869754446380945,22.249286577020705,14.05462432248757,31.587565690115166,42.927
1639,New Hampshire,2000.0,37.945,26.89007614652139,28.518803134881686,20.04902019981926,29.21387407765672,44.939
1640,New Hampshire,2001.0,40.598,27.965450550249006,30.9887210882962,25.81538600334322,33.93806709946236,54.836
1641,New Hampshire,2002.0,40.027,29.65036433199586,31.119770154767807,19.379416666212716,34.284150414509654,51.446
1642,New Hampshire,2003.0,41.997,23.89298144144991,28.487468979378033,20.321186232667035,37.169980255954755,51.512
1643,New Hampshire,2004.0,42.288,30.136905749706965,32.634163437336674,21.326889943321895,34.3131237603144,55.187
1644,New Hampshire,2005.0,38.325,27.873104479217897,27.313975366883614,18.20864736909835,39.29184088504572,48.494
1645,New Hampshire,2006.0,39.217,29.27475665678063,28.504328930577017,22.17821067683976,37.79289865948296,50.656
1646,New Hampshire,2007.0,42.597,28.841063252776717,24.255715228289013,22.538677317337,39.23265038577655,56.615
1647,New Hampshire,2008.0,43.636,28.00119361735162,24.724640868742448,23.471623826041917,33.184679364667296,57.674
1648,New Hampshire,2009.0,46.021,32.68096161503881,22.30226718391433,24.106871385440947,37.17641728878227,58.013
1649,New Hampshire,2010.0,43.412,27.103046358674803,31.539920067279393,20.680396386985,39.90075297724182,51.761
1650,New Jersey,1956.0,50.37,39.04014529836719,34.73194346996266,,,49.998
1651,New Jersey,1957.0,46.083,35.81432004977302,37.32140214596359,,,49.021
1652,New Jersey,1958.0,57.21,34.33688497623187,38.16513667906732,,,53.981
1653,New Jersey,1959.0,57.132,43.44473160461787,24.100378809559274,,,53.462
1654,New Jersey,1960.0,52.909,37.33268715670982,38.36054238604247,,,49.762
1655,New Jersey,1961.0,56.063,36.088843005834434,39.57730246918681,,,54.064
1656,New Jersey,1962.0,57.178,46.26681638554801,28.846178152138563,,,55.166
1657,New Jersey,1963.0,58.345,41.07758490548644,26.06166805841552,,,53.62
1658,New Jersey,1964.0,62.943,52.508327791013876,25.901966202537086,,,56.071
1659,New Jersey,1965.0,62.234,34.56529334565616,32.097191322525845,,,53.529
